8,7,4,3,21,11,14,23,6,17,10,0,1,20,19,9,5,24,12,15,2,18,22,13,16
5,24,12,1,20,16,13,7,22,18,11,3,21,8,15,2,6,0,14,19,4,17,23,9,10
10,14,11,2,15,3,9,8,0,19,18,17,12,13,16,4,23,20,22,21,1,5,7,6,24
13,22,17,23,0,2,5,21,1,15,7,9,4,24,6,3,10,8,18,16,20,14,11,19,12
9,18,16,19,6,10,12,4,24,20,5,23,2,14,22,1,7,13,11,17,3,8,0,15,21
1,5,13,6,7,14,11,15,9,3,0,8,19,4,12,23,20,22,21,24,16,10,17,18,2
3,2,15,22,11,13,1,6,21,9,4,14,7,5,23,8,16,12,20,18,17,24,19,10,0
4,11,3,10,9,12,15,2,7,1,8,5,6,17,18,19,21,23,0,20,14,22,24,16,13
12,16,7,9,8,4,6,10,5,2,1,20,18,11,21,24,19,14,17,0,13,23,3,22,15
6,13,14,4,3,20,10,12,17,24,15,2,23,22,7,21,18,9,8,5,19,0,16,11,1
15,4,21,17,1,8,2,24,3,16,9,6,14,7,11,0,22,18,23,10,5,13,12,20,19
17,12,10,11,2,6,3,1,8,4,23,24,22,21,0,20,15,7,19,14,18,16,13,5,9
11,10,9,14,5,7,4,3,2,8,21,22,24,0,20,6,17,16,13,12,23,19,15,1,18
2,3,8,13,24,15,23,16,10,0,22,21,5,1,4,7,14,19,6,11,9,12,18,17,20
16,19,1,12,18,9,8,11,4,10,2,7,0,6,3,5,24,21,15,13,22,20,14,23,17
18,15,20,16,12,22,0,5,14,23,6,19,13,3,2,17,8,11,10,1,21,4,9,24,7
19,20,18,15,14,21,24,0,23,22,17,4,3,2,1,16,13,10,9,7,12,11,5,8,6
14,9,5,8,10,0,7,13,12,6,19,18,17,16,24,22,1,2,3,4,11,15,20,21,23
23,6,22,20,19,5,16,14,13,21,24,12,9,18,17,15,2,1,4,3,10,7,8,0,11
0,17,23,18,16,24,21,22,15,12,20,10,11,19,13,14,3,4,1,2,8,9,6,7,5
20,1,19,0,17,23,22,18,16,5,12,11,10,15,14,13,4,3,7,9,24,6,21,2,8
21,8,6,7,22,17,18,19,20,13,14,15,16,9,10,11,12,5,24,23,0,1,2,3,4
22,21,0,24,23,18,17,20,19,14,13,16,15,10,9,12,11,6,5,8,7,2,1,4,3
7,0,24,21,13,19,20,17,18,11,16,1,8,23,5,10,9,15,2,22,6,3,4,12,14
24,23,2,5,4,1,19,9,11,7,3,13,20,12,8,18,0,17,16,6,15,21,10,14,22
