3,7,13,10,2,5,15,16,4,11,0,12,14,6,9,8
8,2,9,12,3,6,4,14,5,13,16,10,11,7,15,0
4,11,6,5,8,9,7,0,3,14,15,2,16,10,12,13
14,15,16,0,10,11,12,13,6,7,8,9,2,3,4,5
9,3,2,8,7,4,13,6,10,5,12,16,15,0,14,11
11,9,5,2,4,3,8,7,14,15,10,0,6,13,16,12
7,8,10,9,6,2,3,4,13,16,5,14,0,12,11,15
5,4,11,6,15,7,2,3,16,0,14,13,12,8,10,9
10,6,3,4,5,15,16,2,0,12,13,8,9,11,7,14
6,13,4,3,9,14,0,15,12,2,11,5,10,16,8,7
13,12,7,11,16,0,14,5,15,3,2,4,8,9,6,10
15,14,12,13,0,16,9,8,11,10,4,3,7,2,5,6
12,5,8,7,14,10,6,9,2,4,3,11,13,15,0,16
2,10,0,16,11,8,5,12,7,6,9,15,3,14,13,4
16,0,14,15,12,13,10,11,8,9,6,7,4,5,2,3
0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2
