9,8,5,4,22,12,15,24,7,18,11,0,2,21,20,10,6,25,13,16,3,19,23,14,17
6,25,13,2,21,17,14,8,23,19,12,4,22,9,16,3,7,0,15,20,5,18,24,10,11
11,15,12,3,16,4,10,9,0,20,19,18,13,14,17,5,24,21,23,22,2,6,8,7,25
14,23,18,24,0,3,6,22,2,16,8,10,5,25,7,4,11,9,19,17,21,15,12,20,13
10,19,17,20,7,11,13,5,25,21,6,24,3,15,23,2,8,14,12,18,4,9,0,16,22
2,6,14,7,8,15,12,16,10,4,0,9,20,5,13,24,21,23,22,25,17,11,18,19,3
4,3,16,23,12,14,2,7,22,10,5,15,8,6,24,9,17,13,21,19,18,25,20,11,0
5,12,4,11,10,13,16,3,8,2,9,6,7,18,19,20,22,24,0,21,15,23,25,17,14
13,17,8,10,9,5,7,11,6,3,2,21,19,12,22,25,20,15,18,0,14,24,4,23,16
7,14,15,5,4,21,11,13,18,25,16,3,24,23,8,22,19,10,9,6,20,0,17,12,2
16,5,22,18,2,9,3,25,4,17,10,7,15,8,12,0,23,19,24,11,6,14,13,21,20
18,13,11,12,3,7,4,2,9,5,24,25,23,22,0,21,16,8,20,15,19,17,14,6,10
12,11,10,15,6,8,5,4,3,9,22,23,25,0,21,7,18,17,14,13,24,20,16,2,19
3,4,9,14,25,16,24,17,11,0,23,22,6,2,5,8,15,20,7,12,10,13,19,18,21
17,20,2,13,19,10,9,12,5,11,3,8,0,7,4,6,25,22,16,14,23,21,15,24,18
19,16,21,17,13,23,0,6,15,24,7,20,14,4,3,18,9,12,11,2,22,5,10,25,8
20,21,19,16,15,22,25,0,24,23,18,5,4,3,2,17,14,11,10,8,13,12,6,9,7
15,10,6,9,11,0,8,14,13,7,20,19,18,17,25,23,2,3,4,5,12,16,21,22,24
24,7,23,21,20,6,17,15,14,22,25,13,10,19,18,16,3,2,5,4,11,8,9,0,12
0,18,24,19,17,25,22,23,16,13,21,11,12,20,14,15,4,5,2,3,9,10,7,8,6
21,2,20,0,18,24,23,19,17,6,13,12,11,16,15,14,5,4,8,10,25,7,22,3,9
22,9,7,8,23,18,19,20,21,14,15,16,17,10,11,12,13,6,25,24,0,2,3,4,5
23,22,0,25,24,19,18,21,20,15,14,17,16,11,10,13,12,7,6,9,8,3,2,5,4
8,0,25,22,14,20,21,18,19,12,17,2,9,24,6,11,10,16,3,23,7,4,5,13,15
25,24,3,6,5,2,20,10,12,8,4,14,21,13,9,19,0,18,17,7,16,22,11,15,23
