2,6,12,9,1,4,14,15,3,10,0,11,13,5,8,7
7,1,8,11,2,5,3,13,4,12,15,9,10,6,14,0
3,10,5,4,7,8,6,0,2,13,14,1,15,9,11,12
13,14,15,0,9,10,11,12,5,6,7,8,1,2,3,4
8,2,1,7,6,3,12,5,9,4,11,15,14,0,13,10
10,8,4,1,3,2,7,6,13,14,9,0,5,12,15,11
6,7,9,8,5,1,2,3,12,15,4,13,0,11,10,14
4,3,10,5,14,6,1,2,15,0,13,12,11,7,9,8
9,5,2,3,4,14,15,1,0,11,12,7,8,10,6,13
5,12,3,2,8,13,0,14,11,1,10,4,9,15,7,6
12,11,6,10,15,0,13,4,14,2,1,3,7,8,5,9
14,13,11,12,0,15,8,7,10,9,3,2,6,1,4,5
11,4,7,6,13,9,5,8,1,3,2,10,12,14,0,15
1,9,0,15,10,7,4,11,6,5,8,14,2,13,12,3
15,0,13,14,11,12,9,10,7,8,5,6,3,4,1,2
0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
